ID,PAINTING,total_fixations,areas_of_interest,visits_to_final_area,isolated_fixations,area_duration_min,area_duration_max,area_duration_mean,area_duration_std,min_fixations_per_area,max_fixations_per_area,mean_fixations_per_area,std_fixations_per_area,last_series_duration,last_series_num_fixations,first_is_longest_duration,first_is_most_fixations,last_is_longest_duration,last_is_most_fixations,total_duration_fixations,fixation_duration_min,fixation_duration_max,fixation_duration_mean,fixation_duration_std,min_dilatation,max_dilatation,mean_dilatation,std_dilatation,instance_area_mean_dilatation_min,instance_area_mean_dilatation_max,instance_area_mean_dilatation_mean,instance_area_mean_dilatation_std,dilatation_range_min,dilatation_range_max,dilatation_range_mean,dilatation_range_std,is_max_dilatation_in_first_instance_area,is_max_dilatation_in_last_instance_area,returns_to_initial_area,times_returns_to_initial_area,n_area_changes_before_first_long_area,initial_instance_area_duration_ms,initial_instance_area_n_fixations,vote,RFLabel
317,9,38,4,7,30,17094,36113,24235.75,8285.613852736964,8,12,9.5,1.7320508075688772,23023.0,9,False,False,False,False,96943,693,7238,2551.1315789473683,1819.263248131739,41.03684997558594,54.72296142578125,49.64452720127812,1.1564705029272295,45.41192868176629,51.45482289791107,49.5639080934243,1.4199278143700511,1.3213882446289134,9.271350860595703,3.872517556855173,1.6619981903463077,False,False,True,8,16,20713.0,9,5,0.0
229,22,23,3,2,9,7931,44737,31903.666666666668,20778.20900206111,6,9,7.666666666666667,1.5275252316519463,7931.0,6,False,False,False,True,95711,616,14014,4161.347826086957,3742.26612931372,27.025131225585938,53.59789657592773,47.50173545692655,1.2029845394110543,45.987872557206586,49.0425276804452,47.30167294533928,0.904481214442992,1.4266433715820312,22.18191146850586,6.464987618582589,5.059944139515803,False,False,True,5,7,44737.0,8,12,0.0
341,18,19,2,2,1,1617,56210,28913.5,38603.08050531719,1,18,9.5,12.020815280171307,56210.0,18,False,False,True,True,57827,693,6930,3043.5263157894738,1874.0829866725944,11.728347778320312,60.23908233642578,55.38884570197932,1.9621987485771504,53.911369574488056,56.09920477836258,55.24665596772616,1.1710817221997207,6.299491882324219,47.561180114746094,23.740407307942707,21.35787124459248,False,False,True,1,1,56210.0,18,26,0.0
260,11,46,2,9,9,29106,66220,47663.0,26243.561076957525,16,30,23.0,9.899494936611664,29106.0,16,False,False,False,False,95326,616,5775,2072.304347826087,1226.9446400544948,29.95062828063965,48.86980819702149,41.94087153505782,1.50287253530727,36.72285493214925,44.868243650956586,42.14973789746019,2.1755569653237634,1.9318962097167969,14.647241592407234,5.766467730204265,3.675955216435713,False,False,True,8,3,66220.0,30,21,0.0
220,47,49,2,7,3,25179,85316,55247.5,42523.280500215405,12,37,24.5,17.67766952966369,85316.0,37,False,False,False,False,110495,616,6006,2255.0,1423.545851620757,21.3360652923584,33.11396789550781,27.977954463264933,0.946546567134078,27.60279093674623,29.0781727959128,28.1314291213144,0.392989992961822,1.5966815948486293,11.777902603149414,4.788136345999582,2.639479889743806,False,True,True,6,2,25179.0,12,10,0.0
222,9,41,5,5,12,12782,46431,23639.0,13464.76611382463,6,12,8.2,2.3874672772626644,22099.0,9,False,False,False,False,118195,616,8778,2882.8048780487807,2220.6223814452583,35.02924346923828,52.23358917236328,47.36010534557964,0.9682384173138142,37.58814084409463,50.671634674072266,47.62855074277282,3.298407969558701,0.9650001525878906,9.8963623046875,4.167941888173421,2.663552838095077,False,False,True,6,1,46431.0,12,29,0.0
217,7,34,2,4,1,52360,56826,54593.0,3157.938884779121,15,19,17.0,2.8284271247461903,56826.0,19,False,False,False,False,109186,616,10318,3211.3529411764707,2669.8176408313207,22.025428771972656,54.5355110168457,48.37183126761448,1.5784656069239529,43.28003933316185,50.65756104404765,47.72549340772441,2.3272519407141115,2.9997100830078125,30.03821182250977,13.090645790100098,8.696786637532652,False,False,True,3,1,52360.0,15,28,0.0
27,9,25,5,2,11,2464,21637,12119.8,7588.622483692281,2,8,5.0,2.1213203435596424,2464.0,2,False,False,False,False,60599,770,9702,2423.96,1861.2032505881773,45.87985573814507,74.99002678421006,63.519525174474346,4.761313809139444,50.85453220025245,68.55425603729746,63.41153277548328,5.749464822792732,8.038233542024244,19.392182074872025,13.161852289902988,3.0781887424730305,False,False,True,2,3,17710.0,5,37,0.0
264,21,26,2,6,4,46200,65065,55632.5,13339.56942708422,10,16,13.0,4.242640687119285,65065.0,16,False,False,False,False,111265,693,16016,4279.423076923077,3926.436686595895,19.688928604125977,57.83649826049805,53.83342673836277,0.89159948702206,52.52156050308891,54.83805508083768,53.72211801066067,0.7424421575549357,2.1906890869140625,36.20815086364746,7.158852490511808,9.816887680932826,False,True,True,5,2,65065.0,16,12,0.0
225,14,21,3,2,4,18095,74074,37114.0,32012.836815877472,5,9,7.0,2.0,74074.0,9,False,False,True,True,111342,693,17787,5302.0,5277.409781322652,38.317901611328125,55.2200927734375,46.66022239858362,2.4853414142834485,45.13498202567416,50.69415581532014,47.35345499826639,1.940009315862896,4.894744873046875,12.387176513671868,8.691781616210935,2.26021330145765,False,False,True,4,2,18095.0,7,5,0.0
260,1,35,5,5,18,6853,35959,17894.8,11827.410545000965,6,9,7.0,1.224744871391589,6853.0,6,False,False,False,False,89474,616,11242,2556.4,2436.729235000451,32.48418426513672,50.08232879638672,40.25866498099042,1.5583813777439672,35.08639267952211,43.61786315991328,39.71637983560191,2.2856796576005984,1.434173583984375,11.887073516845703,5.444452819824218,3.178620801167176,False,False,True,2,1,13706.0,7,11,0.0
291,6,36,2,3,1,14630,98252,56441.0,59129.68325638148,4,32,18.0,19.79898987322333,98252.0,32,False,False,True,True,112882,616,11088,3135.611111111112,2403.9797512550817,31.291046142578125,64.76367950439453,58.530387025020445,2.923996079810176,57.48526959254606,59.93695592880249,59.05744293171114,1.0208096388450163,5.577159881591797,33.472633361816406,13.350273895263673,11.431671689352395,False,True,True,2,1,98252.0,32,35,1.0
139,23,23,2,5,6,30261,59367,44814.0,20581.049973215653,8,15,11.5,4.949747468305833,30261.0,8,False,False,False,False,89628,693,9779,3896.869565217392,2275.765891146176,21.697940826416016,32.655738830566406,27.743115575507822,1.494005053785749,26.386336403924066,29.684011671278213,27.930043824114914,0.8735375696653643,2.5026054382324183,9.876653671264645,6.106995964050292,2.4285533574983127,False,False,True,4,1,59367.0,15,26,0.0
209,14,25,2,6,4,18018,54285,36151.5,25644.64163329252,7,18,12.5,7.7781745930520225,54285.0,18,False,False,False,False,72303,616,7161,2892.12,1878.373927097584,17.58670830287724,55.876922508611415,49.096764808209365,2.757860550479461,46.51736725469414,51.249833722947294,48.95696260445074,1.3074368022975649,5.383464377163769,36.75862616153778,13.342969565022033,9.412440304157878,False,False,True,5,1,54285.0,18,10,0.0
