File,FixationDurCumulated,Duration,Score
S387_Q6.csv,13552,46585,0.2909090909090909
S200_Q15.csv,16555,56903,0.29093369418132614
S194_Q9.csv,15862,54516,0.2909604519774011
S127_Q22.csv,13398,46046,0.2909698996655518
S389_Q21.csv,18788,64526,0.2911694510739857
S215_Q18.csv,16863,57904,0.2912234042553192
S165_Q18.csv,19558,66990,0.29195402298850576
S165_Q1.csv,19404,66220,0.2930232558139535
S166_Q6.csv,15862,54131,0.2930298719772404
S354_Q20.csv,13398,45661,0.2934232715008432
S204_Q47.csv,16247,55363,0.29346314325452016
S327_Q20.csv,24486,83391,0.29362880886426596
S199_Q20.csv,10780,36652,0.29411764705882354
S7_Q22.csv,16401,55748,0.2941988950276243
S244_Q10.csv,7854,26642,0.2947976878612717
S125_Q11.csv,13629,46200,0.295
S275_Q23.csv,10318,34958,0.29515418502202645
S295_Q15.csv,21791,73766,0.2954070981210856
S354_Q18.csv,13706,46354,0.2956810631229236
S337_Q4.csv,19250,65065,0.2958579881656805
S183_Q14.csv,9933,33572,0.2958715596330275
S337_Q47.csv,20559,69454,0.2960088691796009
S278_Q2.csv,15708,53053,0.2960812772133527
S91_Q7.csv,15169,51205,0.2962406015037594
S256_Q11.csv,16016,53977,0.2967189728958631
S394_Q16.csv,15939,53669,0.296987087517934
S200_Q11.csv,16940,56980,0.2972972972972973
S197_Q14.csv,11858,39886,0.2972972972972973
S194_Q11.csv,15477,52052,0.2973372781065089
S211_Q47.csv,15323,51436,0.29790419161676646
S85_Q9.csv,13167,44198,0.2979094076655052
S244_Q4.csv,7777,26026,0.2988165680473373
S277_Q9.csv,18326,61292,0.2989949748743719
S277_Q11.csv,18326,61215,0.2993710691823899
S204_Q13.csv,13860,46277,0.2995008319467554
S88_Q47.csv,16170,53977,0.2995720399429387
S215_Q6.csv,17633,58828,0.299738219895288
S88_Q15.csv,14245,47509,0.29983792544570503
S389_Q9.csv,19635,65450,0.3
S345_Q23.csv,13321,44044,0.30244755244755245
S119_Q7.csv,12166,40117,0.30326295585412666
S200_Q10.csv,16940,55825,0.30344827586206896
S371_Q45.csv,9163,30184,0.30357142857142855
S166_Q14.csv,17171,56518,0.30381471389645776
S110_Q15.csv,21406,70455,0.3038251366120219
S216_Q11.csv,14091,46200,0.305
S8_Q9.csv,17710,58058,0.3050397877984085
S28_Q16.csv,18557,60753,0.30544993662864384
S165_Q16.csv,20636,67529,0.3055872291904219
S171_Q15.csv,19096,62370,0.30617283950617286
S204_Q15.csv,13937,45507,0.3062605752961083
S111_Q20.csv,16863,55055,0.3062937062937063
S285_Q6.csv,23485,76615,0.3065326633165829
S413_Q10.csv,16016,52206,0.30678466076696165
S7_Q14.csv,18095,58982,0.30678851174934724
S199_Q22.csv,11088,36113,0.3070362473347548
S162_Q10.csv,19866,64680,0.30714285714285716
S197_Q16.csv,13629,44198,0.3083623693379791
S110_Q47.csv,21175,68607,0.30864197530864196
S125_Q6.csv,17402,56364,0.3087431693989071
S256_Q1.csv,19096,61831,0.30884184308841844
S256_Q2.csv,10549,34111,0.309255079006772
S127_Q6.csv,18326,59136,0.3098958333333333
S192_Q15.csv,30338,97867,0.3099921321793863
S2_Q47.csv,11704,37653,0.310838445807771
S271_Q9.csv,14245,45738,0.3114478114478115
S91_Q9.csv,14322,45969,0.31155778894472363
S184_Q20.csv,21021,67375,0.312
S163_Q9.csv,28259,90398,0.3126064735945486
S345_Q4.csv,14553,46508,0.3129139072847682
S193_Q13.csv,13860,44275,0.3130434782608696
S339_Q15.csv,9548,30492,0.31313131313131315
S337_Q1.csv,20328,64911,0.31316725978647686
S184_Q7.csv,21175,67298,0.3146453089244851
S28_Q13.csv,18095,57365,0.31543624161073824
S125_Q2.csv,12243,38808,0.31547619047619047
S377_Q20.csv,15708,49665,0.31627906976744186
S244_Q7.csv,9779,30877,0.3167082294264339
S207_Q7.csv,16632,52514,0.31671554252199413
S156_Q20.csv,17171,54208,0.31676136363636365
S91_Q1.csv,13167,41426,0.31784386617100374
S271_Q7.csv,18249,57365,0.3181208053691275
